Barangay,House Type,Lot Area (sqm),Floor Area (sqm),Number of Floors,Bedroom,Bathroom,Garage,Year Built,Price (PHP),Price Growth Rate,Market Price,Market Price Growth Rate
San Jose (Poblacion),Duplex,254,155,2,3,4,1,2017,5852426.69,2.73,17557280.07,200.00%
San Roque (Poblacion),Bungalow,325,270,1,6,4,0,2022,8921833.36,5.14,26765500.08,200.00%
San Isidro (Poblacion),Bungalow,398,191,1,4,4,2,2022,2824891.76,2.35,8474675.28,200.00%
San Jose (Poblacion),Townhouse,300,147,2,3,1,0,2018,6169154.83,4.91,18507464.49,200.00%
San Luis,Townhouse,343,193,1,5,2,3,2013,7845999.48,5.06,23537998.44,200.00%
San Luis,Duplex,279,82,3,2,3,1,2020,2450840.85,2.45,7352522.55,200.00%
Santa Cruz,Duplex,354,207,1,4,4,3,2022,9327216.95,3.74,27981650.85,200.00%
San Isidro (Poblacion),Single-Family Home,243,195,3,3,1,3,2015,7354915.32,4.88,22064745.96,200.00%
San Isidro (Poblacion),Townhouse,197,273,3,5,3,2,2013,5918329.04,2.78,17754987.12,200.00%
Inarawan,Duplex,353,120,1,2,1,0,2022,9365456.32,2.13,28096368.96,200.00%
San Isidro (Poblacion),Townhouse,377,171,3,6,4,0,2014,8447473.16,5.99,25342419.48,200.00%
San Juan,Duplex,334,193,3,4,3,0,2015,9655560.51,3.36,28966681.53,200.00%
San Isidro (Poblacion),Single-Family Home,155,173,2,6,2,2,2018,2201134.74,4.25,6603404.22,200.00%
Beverly Hills,Duplex,282,98,1,3,3,0,2022,7813440.46,5.89,23440321.38,200.00%
Mambugan,Bungalow,309,233,1,3,2,2,2014,6937861.19,4.97,20813583.57,200.00%
San Luis,Duplex,327,81,2,4,1,1,2013,5694154.86,5.44,17082464.58,200.00%
San Luis,Single-Family Home,352,151,1,4,2,0,2022,4287719.97,4.32,12863159.91,200.00%
Inarawan,Townhouse,159,224,2,2,4,2,2016,8759051.47,5.24,26277154.41,200.00%
Bagong Nayon,Townhouse,255,94,2,6,4,0,2016,3217178.52,2.07,9651535.56,200.00%
Dela Paz (Poblacion),Bungalow,323,117,1,4,1,0,2021,7040114.9,3.42,21120344.7,200.00%
Mayamot,Townhouse,184,99,1,2,4,1,2019,7392525.31,5.58,22177575.93,200.00%
Mayamot,Single-Family Home,324,251,3,6,4,1,2022,4367233.86,5.38,13101701.58,200.00%
Inarawan,Townhouse,224,189,2,2,3,2,2015,2826596.35,4.5,8479789.05,200.00%
Inarawan,Duplex,213,157,3,2,2,0,2016,9047573.97,3.43,27142721.91,200.00%
Cupang,Duplex,306,169,2,4,3,2,2016,4004187.52,3.35,12012562.56,200.00%
Cupang,Duplex,171,268,3,4,4,1,2016,5444863.34,4.99,16334590.02,200.00%
Dela Paz (Poblacion),Bungalow,329,90,1,3,4,1,2020,6089669.43,4.04,18269008.29,200.00%
Dalig,Single-Family Home,399,226,2,6,1,2,2021,5323318.6,3.83,15969955.8,200.00%
San Juan,Duplex,222,99,3,3,3,0,2020,3907988.54,2.07,11723965.62,200.00%
Santa Cruz,Single-Family Home,212,195,2,4,2,2,2016,8542391.33,2.26,25627173.99,200.00%
Dela Paz (Poblacion),Bungalow,210,124,1,2,2,2,2020,8871196.93,2,26613590.79,200.00%
San Isidro (Poblacion),Single-Family Home,240,107,1,3,4,2,2020,3093017.13,2.76,9279051.39,200.00%
Mambugan,Single-Family Home,359,169,1,3,3,0,2021,7393654.43,5.07,22180963.29,200.00%
San Isidro (Poblacion),Bungalow,306,191,1,2,1,2,2015,2651324.51,4.12,7953973.53,200.00%
Mambugan,Single-Family Home,169,260,3,4,4,2,2017,9968479.67,5.34,29905439.01,200.00%
Mambugan,Townhouse,365,163,1,2,4,3,2013,2503171.75,4.75,7509515.25,200.00%
Mayamot,Townhouse,173,242,3,6,2,0,2018,8978409.09,2.62,26935227.27,200.00%
Bagong Nayon,Bungalow,186,272,1,6,2,3,2019,8508283.08,5.45,25524849.24,200.00%
Muntindilaw,Duplex,254,146,1,4,1,3,2022,9740537.92,2.2,29221613.76,200.00%
Cupang,Bungalow,284,107,1,4,1,3,2016,6889074.8,2.01,20667224.4,200.00%
Cupang,Duplex,355,258,3,4,4,3,2017,8649502.95,4.6,25948508.85,200.00%
Mambugan,Single-Family Home,229,258,3,6,2,0,2013,7204083.22,2.85,21612249.66,200.00%
Cupang,Single-Family Home,181,104,2,6,1,0,2015,6322198.15,3.19,18966594.45,200.00%
Mayamot,Duplex,360,196,1,6,1,0,2020,5586642.08,5.76,16759926.24,200.00%
Dela Paz (Poblacion),Single-Family Home,279,156,1,6,1,3,2014,9993114.95,3.45,29979344.85,200.00%
Calawis,Bungalow,290,271,1,3,3,1,2021,2888567.65,4.51,8665702.95,200.00%
Beverly Hills,Duplex,395,81,2,2,1,3,2019,8847412.44,2.94,26542237.32,200.00%
Dalig,Townhouse,271,256,1,3,3,2,2022,9394291.15,2.66,28182873.45,200.00%
San Luis,Single-Family Home,202,250,2,4,3,2,2013,2143723.34,4.42,6431170.02,200.00%
Santa Cruz,Bungalow,234,175,1,6,1,1,2015,4568910.22,3.43,13706730.66,200.00%
Santa Cruz,Single-Family Home,240,163,3,5,3,2,2018,4265074.73,4.21,12795224.19,200.00%
Dela Paz (Poblacion),Single-Family Home,328,213,3,6,4,3,2016,3736758.49,3.43,11210275.47,200.00%
Muntindilaw,Single-Family Home,277,260,2,6,2,0,2016,9144381.3,5.21,27433143.9,200.00%
Inarawan,Townhouse,288,206,1,6,3,3,2018,9022315.49,5.59,27066946.47,200.00%
Santa Cruz,Single-Family Home,289,198,1,3,2,3,2019,7017148.57,4.43,21051445.71,200.00%
Dela Paz (Poblacion),Bungalow,315,263,1,3,3,0,2022,5197850.31,5.43,15593550.93,200.00%
Muntindilaw,Single-Family Home,318,202,3,6,4,1,2018,4941584.44,3.48,14824753.32,200.00%
Mambugan,Single-Family Home,345,254,1,3,3,1,2016,6565771.37,4.01,19697314.11,200.00%
Dela Paz (Poblacion),Townhouse,166,187,1,4,3,2,2016,5697589.65,3.82,17092768.95,200.00%
Dela Paz (Poblacion),Townhouse,213,184,3,2,4,3,2017,4699056.98,2.84,14097170.94,200.00%
Santa Cruz,Duplex,344,170,1,5,3,1,2013,5326902.65,3.57,15980707.95,200.00%
Calawis,Bungalow,184,187,1,2,2,2,2019,9625863.95,3.64,28877591.85,200.00%
Mambugan,Single-Family Home,224,138,2,5,2,3,2014,9567361.9,3.25,28702085.7,200.00%
Muntindilaw,Single-Family Home,268,269,3,6,1,2,2020,4150616.66,2.41,12451849.98,200.00%
Dalig,Bungalow,223,158,1,4,1,3,2020,7468858.43,3.53,22406575.29,200.00%
Muntindilaw,Bungalow,204,90,1,2,2,0,2014,6610285.7,4.34,19830857.1,200.00%
Cupang,Duplex,266,201,1,2,4,0,2017,4460891.73,2.26,13382675.19,200.00%
San Isidro (Poblacion),Bungalow,395,159,1,3,2,0,2016,5659861.77,3.97,16979585.31,200.00%
Inarawan,Duplex,321,101,3,4,1,2,2015,9303327.84,5.28,27909983.52,200.00%
Muntindilaw,Townhouse,380,109,1,5,4,3,2016,9371608.04,4.65,28114824.12,200.00%
Mayamot,Bungalow,171,136,1,2,3,3,2013,2553649.59,2.15,7660948.77,200.00%
Bagong Nayon,Bungalow,232,193,1,3,2,0,2015,8541411.16,4.93,25624233.48,200.00%
San Roque (Poblacion),Townhouse,348,166,3,6,3,1,2018,2299605.14,3.58,6898815.42,200.00%
San Luis,Townhouse,219,180,1,6,1,1,2019,5123321.99,2.25,15369965.97,200.00%
Inarawan,Duplex,153,252,1,2,4,3,2021,9595850.71,5.98,28787552.13,200.00%
Inarawan,Townhouse,368,86,1,5,4,1,2018,6932948.89,4.42,20798846.67,200.00%
Inarawan,Bungalow,207,105,1,5,1,1,2022,4191321.26,5.1,12573963.78,200.00%
San Roque (Poblacion),Duplex,250,270,2,6,3,2,2015,3779604.43,3.77,11338813.29,200.00%
San Luis,Townhouse,213,115,3,5,2,3,2021,6645258.27,5.89,19935774.81,200.00%
Beverly Hills,Bungalow,360,230,1,6,2,3,2018,9706512.45,2.05,29119537.35,200.00%
Mambugan,Single-Family Home,164,268,3,5,4,3,2017,2701566.43,5.67,8104699.29,200.00%
Mayamot,Bungalow,173,164,1,5,3,0,2022,5622082.48,5.11,16866247.44,200.00%
Bagong Nayon,Single-Family Home,338,254,3,6,4,3,2014,2819070.24,3.11,8457210.72,200.00%
San Juan,Duplex,334,135,3,6,1,0,2015,9833492.54,5.66,29500477.62,200.00%
Mambugan,Single-Family Home,204,210,2,4,2,1,2019,6884029.88,2.63,20652089.64,200.00%
San Jose (Poblacion),Single-Family Home,276,88,3,2,2,3,2020,5706643.39,4.68,17119930.17,200.00%
Santa Cruz,Duplex,203,105,2,6,1,3,2020,6456332.6,3.6,19368997.8,200.00%
Dela Paz (Poblacion),Bungalow,395,231,1,5,1,2,2019,6017853.83,2.97,18053561.49,200.00%
San Jose (Poblacion),Townhouse,369,247,1,5,2,1,2022,4324748.56,5.64,12974245.68,200.00%
Cupang,Duplex,377,198,2,5,2,2,2019,9220445.16,5.74,27661335.48,200.00%
Cupang,Bungalow,202,115,1,5,2,0,2021,6498452.27,2.7,19495356.81,200.00%
Beverly Hills,Duplex,222,193,3,5,2,2,2020,3857423.89,5.87,11572271.67,200.00%
Bagong Nayon,Townhouse,296,241,3,2,2,1,2022,6359705.74,3.88,19079117.22,200.00%
Beverly Hills,Bungalow,240,158,1,3,2,3,2020,5503987.94,5.26,16511963.82,200.00%
San Isidro (Poblacion),Single-Family Home,177,129,3,3,2,0,2020,9485355.37,4.45,28456066.11,200.00%
Cupang,Single-Family Home,331,272,1,4,2,3,2021,3006994.67,3.89,9020984.01,200.00%
San Isidro (Poblacion),Duplex,224,232,1,4,3,3,2020,6533123.94,3.22,19599371.82,200.00%
San Jose (Poblacion),Townhouse,296,124,3,5,1,2,2016,3570270.99,5.76,10710812.97,200.00%
San Jose (Poblacion),Bungalow,299,108,1,5,1,2,2018,3625022.65,2.4,10875067.95,200.00%
Bagong Nayon,Single-Family Home,241,234,2,3,4,0,2015,4582005.41,4.37,13746016.23,200.00%
Muntindilaw,Townhouse,387,209,2,2,2,0,2014,7830814.03,2.69,23492442.09,200.00%
Muntindilaw,Bungalow,230,265,1,4,1,1,2015,2930715.2,3.08,8792145.6,200.00%
Bagong Nayon,Townhouse,160,199,2,6,3,0,2014,2035843.48,4.8,6107530.44,200.00%
Beverly Hills,Duplex,193,183,3,3,3,1,2019,2139266.13,2.49,6417798.39,200.00%
San Juan,Duplex,379,190,2,6,1,0,2022,6468477.76,4.3,19405433.28,200.00%
San Jose (Poblacion),Townhouse,220,260,1,4,3,3,2022,6013344.28,4.84,18040032.84,200.00%
San Jose (Poblacion),Duplex,267,174,3,6,4,2,2016,2080551.45,4.88,6241654.35,200.00%
Cupang,Townhouse,189,250,2,2,4,2,2022,4453523.12,2.72,13360569.36,200.00%
San Jose (Poblacion),Single-Family Home,263,225,1,5,2,3,2018,7249757.62,4.37,21749272.86,200.00%
Santa Cruz,Duplex,259,231,3,5,4,3,2022,6401365.62,3.02,19204096.86,200.00%
Muntindilaw,Townhouse,325,200,1,5,2,0,2022,7746054.15,2.26,23238162.45,200.00%
Calawis,Single-Family Home,210,232,3,3,1,2,2015,6903981.25,4.48,20711943.75,200.00%
Santa Cruz,Townhouse,396,250,1,4,4,3,2022,3585221.6,4.7,10755664.8,200.00%
San Roque (Poblacion),Townhouse,374,252,1,3,3,0,2022,4251115.6,3.9,12753346.8,200.00%
San Jose (Poblacion),Duplex,264,256,2,3,4,2,2022,3152240.17,3.64,9456720.51,200.00%
Beverly Hills,Single-Family Home,324,114,2,6,1,2,2021,7716563.41,4.43,23149690.23,200.00%
Muntindilaw,Townhouse,394,186,2,4,3,0,2018,6840364.96,4.02,20521094.88,200.00%
Inarawan,Bungalow,297,264,1,6,3,1,2021,5945367.15,2.4,17836101.45,200.00%
San Luis,Bungalow,350,279,1,6,4,3,2014,4480960.16,4.12,13442880.48,200.00%
Mambugan,Duplex,249,114,1,3,3,2,2014,3073623.94,3.67,9220871.82,200.00%
San Luis,Bungalow,208,275,1,3,3,0,2021,9678281.44,5.09,29034844.32,200.00%
San Luis,Townhouse,264,222,2,6,2,1,2019,7691190.53,2.57,23073571.59,200.00%
Calawis,Single-Family Home,175,178,2,6,1,3,2017,4326171.94,2.21,12978515.82,200.00%
Cupang,Duplex,362,223,2,2,2,0,2019,3792404.41,4.53,11377213.23,200.00%
San Roque (Poblacion),Single-Family Home,396,133,3,4,1,1,2021,9506642.94,3.14,28519928.82,200.00%
San Roque (Poblacion),Townhouse,157,224,1,6,2,3,2020,2974189.67,2.01,8922569.01,200.00%
Dela Paz (Poblacion),Single-Family Home,382,97,3,5,2,3,2015,2424367.73,3.79,7273103.19,200.00%
Bagong Nayon,Bungalow,258,102,1,2,3,0,2017,7715492,2.14,23146476,200.00%
Mayamot,Duplex,185,102,2,3,3,3,2013,4434664.04,2.65,13303992.12,200.00%
San Isidro (Poblacion),Townhouse,313,90,2,2,1,1,2020,3492299.96,2.9,10476899.88,200.00%
San Luis,Townhouse,285,208,1,3,4,3,2013,3997111.37,5.08,11991334.11,200.00%
Calawis,Bungalow,320,112,1,6,1,2,2016,2379291.21,2.9,7137873.63,200.00%
Cupang,Bungalow,160,240,1,4,4,2,2015,2989788.58,3.38,8969365.74,200.00%
Beverly Hills,Single-Family Home,279,197,3,6,4,2,2022,9791721.97,2.85,29375165.91,200.00%
San Jose (Poblacion),Townhouse,319,187,1,4,3,2,2021,8076539.26,4.81,24229617.78,200.00%
Bagong Nayon,Townhouse,399,89,2,3,1,0,2022,9903775.35,2.81,29711326.05,200.00%
Cupang,Single-Family Home,268,259,3,6,3,0,2020,5855181.32,4.76,17565543.96,200.00%
Calawis,Duplex,209,203,1,5,1,0,2022,4665818.93,2.02,13997456.79,200.00%
Cupang,Duplex,382,153,2,6,1,2,2022,2923772.03,2.01,8771316.09,200.00%
San Juan,Bungalow,251,94,1,4,3,1,2013,4578204.24,2.35,13734612.72,200.00%
Mambugan,Townhouse,173,80,2,5,3,3,2013,3284448.93,4.05,9853346.79,200.00%
San Juan,Townhouse,324,280,3,5,3,1,2017,3451792.5,5.75,10355377.5,200.00%
Calawis,Townhouse,322,159,1,6,2,0,2018,7329342.51,5.48,21988027.53,200.00%
Inarawan,Bungalow,307,101,1,5,3,3,2013,6340259.43,2.27,19020778.29,200.00%
Bagong Nayon,Duplex,362,88,2,6,3,1,2019,2117645.48,3.06,6352936.44,200.00%
Inarawan,Single-Family Home,378,255,1,4,1,3,2014,3130165.46,3.09,9390496.38,200.00%
San Juan,Bungalow,222,186,1,5,2,2,2018,3501768.74,2.28,10505306.22,200.00%
San Luis,Single-Family Home,261,170,1,6,2,3,2013,6748289.11,3.65,20244867.33,200.00%
Dalig,Duplex,386,234,3,6,1,1,2021,2532864.5,3.15,7598593.5,200.00%
Inarawan,Townhouse,332,158,1,5,1,1,2013,8087838.89,5.28,24263516.67,200.00%
Beverly Hills,Townhouse,398,186,1,5,1,1,2016,5597651.07,5.55,16792953.21,200.00%
Calawis,Bungalow,169,100,1,3,3,0,2019,2597416.07,2.52,7792248.21,200.00%
San Jose (Poblacion),Duplex,164,142,1,5,2,3,2022,2924894.79,3.13,8774684.37,200.00%
Muntindilaw,Townhouse,185,274,2,3,4,2,2019,3303403.54,3.55,9910210.62,200.00%
Beverly Hills,Duplex,150,106,2,5,3,3,2021,2764204.6,4.28,8292613.8,200.00%
Dela Paz (Poblacion),Townhouse,267,185,1,6,4,2,2016,6671908.82,2.56,20015726.46,200.00%
Mambugan,Single-Family Home,290,144,2,6,1,1,2017,2162636.77,3.89,6487910.31,200.00%
Muntindilaw,Bungalow,208,168,1,5,4,3,2019,7101937.9,3.47,21305813.7,200.00%
Mambugan,Townhouse,357,102,1,3,4,3,2018,5536896.71,5.58,16610690.13,200.00%
Dalig,Townhouse,224,189,2,2,4,2,2014,9345820.07,4.6,28037460.21,200.00%
Inarawan,Single-Family Home,256,210,3,4,4,3,2020,7594740.26,4.3,22784220.78,200.00%
Bagong Nayon,Bungalow,196,280,1,3,1,3,2019,8281612.66,3.62,24844837.98,200.00%
San Jose (Poblacion),Townhouse,218,136,2,2,4,1,2020,3113255.36,3.25,9339766.08,200.00%
Santa Cruz,Bungalow,241,130,1,3,3,3,2015,7740822.21,5.77,23222466.63,200.00%
San Jose (Poblacion),Townhouse,166,191,2,4,3,2,2017,7444746.58,2.23,22334239.74,200.00%
Beverly Hills,Bungalow,246,123,1,3,1,3,2015,9194683.93,2.18,27584051.79,200.00%
Calawis,Single-Family Home,248,179,2,2,4,3,2017,5227064.87,4.1,15681194.61,200.00%
Mambugan,Duplex,206,166,3,5,3,3,2014,6071730.41,4.26,18215191.23,200.00%
Dalig,Single-Family Home,353,194,1,5,3,1,2015,7185857.93,2.35,21557573.79,200.00%
San Luis,Bungalow,151,154,1,2,2,1,2018,3482751.39,5.68,10448254.17,200.00%
Mayamot,Townhouse,255,264,1,3,4,0,2014,7395968.49,3.85,22187905.47,200.00%
San Roque (Poblacion),Single-Family Home,371,142,2,6,3,2,2021,7846605.39,5.95,23539816.17,200.00%
Mayamot,Townhouse,383,264,1,2,1,1,2018,7050843.46,4.68,21152530.38,200.00%
Santa Cruz,Bungalow,315,156,1,2,2,2,2018,9299388.75,5.33,27898166.25,200.00%
Dela Paz (Poblacion),Single-Family Home,333,117,3,5,3,0,2019,9284252.5,2.83,27852757.5,200.00%
San Jose (Poblacion),Bungalow,189,118,1,3,3,2,2017,2673768.5,3.75,8021305.5,200.00%
Cupang,Townhouse,334,90,1,2,2,3,2018,3491358.46,5.03,10474075.38,200.00%
San Luis,Townhouse,283,225,1,4,2,0,2016,9016297.7,3.38,27048893.1,200.00%
Mambugan,Townhouse,166,184,1,2,3,1,2018,8838131.37,4.43,26514394.11,200.00%
San Isidro (Poblacion),Bungalow,208,125,1,4,3,1,2018,8641140.28,3.26,25923420.84,200.00%
San Roque (Poblacion),Single-Family Home,191,266,2,3,4,1,2015,4194591.59,3.65,12583774.77,200.00%
Santa Cruz,Duplex,329,232,1,6,1,0,2017,4097397.09,2.52,12292191.27,200.00%
Dalig,Single-Family Home,382,138,3,6,4,1,2016,2743755.31,4.26,8231265.93,200.00%
San Roque (Poblacion),Bungalow,291,152,1,2,1,2,2016,6588694.07,4.01,19766082.21,200.00%
Mayamot,Townhouse,240,178,3,4,3,2,2013,9504296.5,5.19,28512889.5,200.00%
Cupang,Single-Family Home,386,183,2,3,2,1,2022,9985023.35,5.66,29955070.05,200.00%
Dela Paz (Poblacion),Townhouse,373,160,1,5,1,0,2021,3152548.92,2.14,9457646.76,200.00%
Dalig,Duplex,289,124,3,2,4,2,2014,6538217.38,4.76,19614652.14,200.00%
Mambugan,Townhouse,281,183,1,4,4,3,2018,7503165.87,5.1,22509497.61,200.00%
Santa Cruz,Townhouse,252,207,1,4,3,1,2013,5721685.36,5.1,17165056.08,200.00%
San Isidro (Poblacion),Single-Family Home,344,155,2,2,3,1,2022,8732426.53,4.58,26197279.59,200.00%
Dalig,Duplex,253,80,3,5,3,3,2022,8235341.13,2.9,24706023.39,200.00%
San Jose (Poblacion),Townhouse,336,158,2,2,2,3,2022,5259874,2.01,15779622,200.00%
Cupang,Townhouse,352,102,1,5,3,1,2014,3153184.54,4.53,9459553.62,200.00%
San Juan,Single-Family Home,192,157,1,5,3,2,2019,6771713.18,2.03,20315139.54,200.00%
Muntindilaw,Bungalow,312,213,1,5,1,2,2014,6559962.93,2.57,19679888.79,200.00%
Mambugan,Duplex,305,140,3,6,3,2,2022,6475218.64,4.83,19425655.92,200.00%
Mayamot,Single-Family Home,294,212,2,2,3,2,2016,3559247.9,4.17,10677743.7,200.00%
Calawis,Townhouse,292,162,1,2,1,0,2022,8922041.51,4.61,26766124.53,200.00%
San Luis,Single-Family Home,279,107,2,3,3,3,2015,4151375.49,5.6,12454126.47,200.00%
Dela Paz (Poblacion),Bungalow,227,166,1,6,3,0,2017,7355658.62,4.9,22066975.86,200.00%
Mambugan,Duplex,176,259,1,3,3,0,2021,9865457.99,3.08,29596373.97,200.00%
San Roque (Poblacion),Single-Family Home,377,112,2,3,1,3,2016,8069762.74,3.67,24209288.22,200.00%
Santa Cruz,Townhouse,198,104,3,2,1,2,2020,7526790.72,3.6,22580372.16,200.00%
Mayamot,Bungalow,276,201,1,2,3,0,2014,8009611.87,2.69,24028835.61,200.00%
Santa Cruz,Duplex,351,97,2,2,4,3,2014,9565694.38,2.58,28697083.14,200.00%
San Luis,Single-Family Home,341,231,3,3,1,1,2015,7103226.88,2.2,21309680.64,200.00%
San Juan,Duplex,218,90,2,5,2,2,2021,3676222.94,2.84,11028668.82,200.00%
Dela Paz (Poblacion),Duplex,216,97,1,5,1,1,2018,4737096.17,2.96,14211288.51,200.00%
Cupang,Bungalow,290,201,1,5,1,0,2020,7162124.24,5.54,21486372.72,200.00%
Inarawan,Bungalow,313,101,1,3,2,0,2018,7063349.39,4.72,21190048.17,200.00%
Muntindilaw,Single-Family Home,209,132,3,4,4,2,2017,4643062.47,2.32,13929187.41,200.00%
Calawis,Single-Family Home,252,140,3,5,1,0,2014,4652094.63,3.59,13956283.89,200.00%
San Juan,Single-Family Home,313,173,2,4,4,0,2021,9902529.19,4.11,29707587.57,200.00%
Santa Cruz,Townhouse,189,165,1,2,2,2,2015,7226332.62,5.41,21678997.86,200.00%
Mayamot,Duplex,205,154,1,6,3,3,2018,4655196.21,4.09,13965588.63,200.00%
San Roque (Poblacion),Single-Family Home,319,272,1,5,4,2,2016,9884074.24,2.05,29652222.72,200.00%
San Luis,Townhouse,292,184,1,4,2,2,2014,8482624.9,4.39,25447874.7,200.00%
Calawis,Bungalow,382,80,1,3,2,1,2022,4350737.96,2.83,13052213.88,200.00%
Dela Paz (Poblacion),Duplex,245,147,2,2,1,3,2021,5921922.45,5.2,17765767.35,200.00%
Bagong Nayon,Single-Family Home,199,200,1,6,1,3,2013,5544430.52,3.55,16633291.56,200.00%
Santa Cruz,Duplex,263,159,3,4,4,3,2021,4780795.45,4.32,14342386.35,200.00%
Beverly Hills,Duplex,286,199,3,4,4,0,2017,4360795.18,4.1,13082385.54,200.00%
San Luis,Townhouse,218,175,2,3,2,0,2020,7597141.99,5.35,22791425.97,200.00%
San Isidro (Poblacion),Bungalow,251,261,1,4,1,3,2015,5859126.82,3.26,17577380.46,200.00%
Santa Cruz,Single-Family Home,178,90,3,5,1,3,2018,7827487.99,2.2,23482463.97,200.00%
Cupang,Townhouse,332,212,3,6,3,2,2013,2507668.71,4.91,7523006.13,200.00%
Mayamot,Bungalow,257,146,1,6,4,1,2021,3043731.54,4.38,9131194.62,200.00%
Calawis,Single-Family Home,315,112,1,3,1,0,2016,5402792.95,2.23,16208378.85,200.00%
Inarawan,Single-Family Home,394,93,3,5,1,0,2022,2002854.59,2.33,6008563.77,200.00%
San Jose (Poblacion),Single-Family Home,294,181,3,4,1,0,2016,4471891.7,2.3,13415675.1,200.00%
Mayamot,Single-Family Home,155,122,1,3,4,1,2021,7720185.05,5.26,23160555.15,200.00%
Cupang,Duplex,341,104,2,3,2,2,2016,9214439.47,5.02,27643318.41,200.00%
San Luis,Townhouse,359,196,2,2,1,1,2014,6736342.77,2.86,20209028.31,200.00%
Calawis,Townhouse,238,94,3,3,3,1,2019,6052469.13,4.07,18157407.39,200.00%
Santa Cruz,Duplex,175,177,3,2,2,0,2020,8828308.12,3.33,26484924.36,200.00%
Bagong Nayon,Bungalow,331,167,1,5,3,1,2013,5224775.98,5.55,15674327.94,200.00%
San Isidro (Poblacion),Townhouse,312,265,3,6,1,3,2019,4836662.09,5.14,14509986.27,200.00%
San Jose (Poblacion),Bungalow,252,204,1,6,2,3,2017,5156347.56,4.81,15469042.68,200.00%
San Jose (Poblacion),Bungalow,303,174,1,5,1,2,2013,7064750.68,5.41,21194252.04,200.00%
San Roque (Poblacion),Single-Family Home,223,279,3,4,2,2,2017,6918517.28,4.78,20755551.84,200.00%
Dalig,Bungalow,262,165,1,2,4,3,2017,5564569.1,4.42,16693707.3,200.00%
Dalig,Duplex,345,199,2,2,2,3,2021,6362190.44,5.37,19086571.32,200.00%
Dalig,Single-Family Home,169,124,2,4,2,1,2022,4168622.42,5.24,12505867.26,200.00%
